緯度,経度,入場者数（万人/年）,社名,敷地面積(平方メートル),,,,
34.664722,135.433056,1050,USJ,540000,,,,
34.654472,135.428889,218,海遊館,3900,,,,
34.691306,135.491583,38,大阪市立科学館,16086,,,,
34.670715,135.461895,28,交通科学博物館,143745,,,,
34.650556,135.508389,120,天王寺動物園,11000,,,,
34.687378,135.525844,151,大阪城天守閣,3339,,,,
34.689444,135.529722,162,大阪城ホール,55244,,,,
34.6105,135.521583,59,長居植物園,65000,,,,
34.660833,135.447222,19,大阪プール,123986,,,,
34.710056,135.573556,20,咲くやこの花館,4750,,,,
34.645947,135.514267,4740,あべのハルカス,28738,,,,
34.644972,135.511583,2700,あべのキューズモール,37803,,,,
34.703361,135.49655,4000,ルクア,58000,,,,
34.661806,135.501694,2900,なんばパークス,22281,,,,
34.705778,135.494361,5300,グランフロント大阪,10571,,,,
34.637245,135.41818,200,インテックス大阪,128986,,,,
34.682722,135.520806,31,大阪歴史博物館,23606,,,,
34.610361,135.522611,32,自然史博物館,6743,,,,
34.654583,135.486806,4,大阪人権博物館,6949,,,,
34.650111,135.510528,46,美術館,7006,,,,
34.693444,135.505472,9,東洋陶磁美術館,2500,,,,
34.652536,135.506325,130,通天閣,765,,,,
34.877998,135.576965,100,関西大学高槻キャンパス,450000,,,,
35.704067,139.770997,10,Mozilla,100,,,,